XB,evaluate_time,introduce,link,name
数学物理学部,1901,女 天文学家 1951年12月生于重庆市万州，籍贯山东博兴。1975年毕业于南京理工大学光学仪器专业，1982年、1995年先后获中国科学院紫金山天文台硕士、博士学位。中国科学院国家天文台南京天文光学技术研究所研究员。　　负责研制成功世界上新型的最大口径的大视场和光谱获取率最高的大天区面积多目标光纤光谱望远镜（LAMOST），为中国在大样本天文学特别是宇宙大尺度结构、暗能量探索和银河系形成演化研究走到国际前沿创建了平台。在国际上首次提出并实现一种新型的主动光学方法：薄变形镜面和拼接镜面相结合的主动光学方法，成功实现了六角形变形子镜和在一个光学系统中同时采用两块大口径的拼接镜面，使主动光学发展到新的水平，不仅使LAMOST这种非传统光学系统成功实现，将我国望远镜研制水平推进到国际前沿，还为我国研制未来极大望远镜奠定了基础。曾获国家科技进步二等奖、江苏省科技进步一等奖等。,http://www.casad.cas.cn:80/aca/371/sxwlxb-200912-t20091203_2681357.html,崔向群
数学物理学部,2001,理论物理学家 1935年11月生于浙江温州。1958年毕业于复旦大学物理系。2001年当选为中国科学院院士。 北京应用物理与计算数学研究所研究员。从事过基础理论研究和核武器理论研究与设计。在非平衡统计物理研究中首次阐明如何从久保输运系数形式公式获得具体的、正确的输运系数，并获得了强磁场下横向输运系数。在映射、混沌、符号动力学、混沌控制与同步等方面获得多项成果，特别是对耗散系统，在参数轴上、周期轨道形成区间、混沌轨道为离散的点集情况下，论证了单峰映象混沌区测度达90%。对非微扰多光子阈上电离的研究，改进和拓宽了Keldysh理论。用半经典理论计算发现了电离电子与离子多次散射对能谱和角分布的重要影响。研究了多光子区、隧穿区与稳定化区双色光电离与双色光初始相对相位的关系，发现稳定区的电离率随相位变化幅度可达2～3个量级。,http://www.casad.cas.cn:80/aca/371/sxwlxb-200906-t20090624_1792077.html,陈式刚
数学物理学部,2017,计算数学家。中国科学院数学与系统科学研究院研究员。1965年7月生于江苏省苏州市，籍贯浙江湖州。1986年毕业于南京大学数学系，1989年在中国科学院数学研究所获硕士学位，1992年于德国奥格斯堡大学获博士学位。 2017年当选为中国科学院院士。       主要从事数值分析和科学计算的研究。深入研究了无界区域完美匹配层方法的数学理论和应用，与合作者提出了亥姆霍兹方程的波源转移区域分裂算法，获得区域分裂方法的理想计算复杂性。系统研究了偏微分方程的有限元后验误差估计理论及自适应有限元方法，与人合作取得椭圆障碍问题、非线性对流扩散方程有限元后验误差估计的创新性成果。与合作者提出了非均匀多孔介质中流动问题的多尺度混合有限元方法，在工程界得到重视和应用。曾获国家自然科学奖二等奖、冯康科学计算奖、中国数学会陈省身数学奖等。2006年在国际数学家大会上做邀请报告。,http://www.casad.cas.cn:80/aca/371/sxwlxb-201711-t20171129_4625038.html,陈志明
数学物理学部,2013,数学家。1941年6月出生于上海市，籍贯浙江镇海。1962年毕业于复旦大学数学系，1965年该校研究生毕业。2013年当选为中国科学院院士。复旦大学教授长期从事偏微分方程理论与应用的研究，特别是关于高维非线性守恒律方程组与激波的数学理论研究。给出了三维尖前缘机翼和尖头锥体的超音速绕流问题含附体激波解的局部存在性与稳定性的严格数学论证，在解决这一长期悬而未决的难题中取得突破性进展，为实验与计算结果提供了严密的数学基础；应用偏微分方程理论证明了在激波反射中频繁出现的马赫结构的局部稳定性，其研究成果发表在有很高知名度的JAMS等国际数学杂志上。曾获国家自然科学奖二等奖2项。在2010年召开的国际数学家大会（ICM2010）上作45分钟邀请报告。,http://www.casad.cas.cn:80/aca/371/sxwlxb-201312-t20131219_4001983.html,陈恕行
技术科学部,1901,材料学专家。南京大学教授。1955年3月生于天津市，籍贯山东黄县。1982年毕业于天津大学，1986年获该校硕士学位，1996年于日本东京大学获博士学位。 主要从事能源与环境材料方面的研究。在光催化材料及其在能源与环境中应用的基础研究中，提出了调控光催化材料能带结构的新理论和新方法，发展了新一代可见光响应型光催化材料，拓宽了光催化材料的响应范围，实现了可见光下水的完全分解。通过构建纳米异质结光催化材料新体系，实现了光生电子和空穴对的有效分离，显著提高量子效率和光催化性能。发现了不同污染物间的协同降解新效应，筛选出可实际应用的高效光催化材料体系。模拟植物光合作用实现了利用光催化材料将CO2和水转化为氧气和甲烷等碳氢燃料，拓展了光催化材料的研究领域。曾获国家自然科学二等奖和江苏省科学技术一等奖等。,http://www.casad.cas.cn:80/aca/371/jskxb-201512-t20151224_4502682.html,邹志刚
数学物理学部,2011,数学家 1964年3月生于四川省南充市。1984年毕业于四川大学计算机科学系，1987年毕业于四川大学数学系，1991年获得美国麻省理工学院博士学位。2011年当选为中国科学院院士。南开大学教授。在代数组合学研究中取得多项重要成果。建立了上下文无关文法与微分算子的联系，并用于研究组合计数问题，为一类经典哑演算方法奠定了严格的基础；与合作者解决了Andrews关于拉马努金（Ramanujan）恒等式的公开问题，解决了Shor关于凯莱（Cayley）公式的问题和Stanley关于斜分拆的秩猜想；与合作者证明了集合划分上嵌套数与交叉数的对称分布性质，引发了计算生物学中伪扭结研究的重要进展；与合作者将组合学用于量子角动量理论研究，建立了Schwinger公式与MacMahon定理之间的联系，证明了斜阶乘舒尔函数的对称性猜想，得到了对称函数的插值公式。曾获联合国教科文组织侯赛因青年科学家奖等。,http://www.casad.cas.cn:80/aca/371/sxwlxb-201112-t20111213_3412299.html,陈永川
数学物理学部,2015,物理学家。1963年3月生于湖南省湘潭县。1982年毕业于宜春学院物理系，1989年在浙江大学获硕士学位，1992年在中国科学技术大学获博士学位。2015年当选为中国科学院院士。中国科学技术大学教授。主要从事超导和关联电子体系的研究。发现了一系列新型超导体，涵盖铜氧化合物、铁基和有机超导体等体系；首次在铁基超导体（常压下）实现40开以上的超导电性，给出了相图及反铁磁与超导电性竞争和共存的证据，发现大同位素效应和磁化率线性温度依赖关系的普适行为；在强关联电子体系中发现多自由度相互作用导致的反常行为；与人合作在黑磷薄层晶体中成功实现场效应晶体管。曾获长江学者成就奖、求是杰出科技成就集体奖、国家自然科学一等奖、马蒂亚斯奖等。,http://www.casad.cas.cn:80/aca/371/sxwlxb-201512-t20151224_4502106.html,陈仙辉
技术科学部,1991,"材料科学家。原籍江苏太仓，1931年7月27日生于上海。1952年毕业于唐山交通大学冶金工程系。1958年获苏联莫斯科有色金属学院副博士学位。中国科学院上海冶金研究所研究员。1991年当选为中国科学院院士（学部委员）。 
    60年代负责国防重点任务甲种分离膜加工成形部分工作，对技术路线进行优选决策。70年代以后在离子束与固体相互作用以及离子束材料改性、合成、加工和分析等方面进行了系统的研究工作。独创用二氧化碳激光背面辐照获得了离子注入损伤的增强退火效应。用全离子注入技术研制成中国第一块120门砷化镓门阵列电路，用反应离子束加工成中国第一批闪光全息光栅。研究SOI材料并制成CMOS／SOI电路。发展了离子束增强沉积技术并合成了氮化硅、氮化钛薄膜。",http://www.casad.cas.cn:80/aca/371/jskxb-200906-t20090624_1808103.html,邹世昌
技术科学部,2011,制造工程专家。南京航空航天大学教授。1954年5月生于辽宁省沈阳市，籍贯辽宁沈阳。1978年毕业于南京航空航天大学机械工程系，1981年、1985年先后获该校硕士、博士学位。曾任南京航空航天大学校长。2011年当选为中国科学院院士。    长期从事电化学制造技术的研究。揭示了游离粒子微量摩擦对电化学沉积过程的作用，掌握了其抑制微小气泡吸附、微磨整平的规律，发明了摩擦辅助精密电铸技术。提出了多场耦合下的电解加工间隙分布数值解法和工作液主动分流控制法等，提高了加工精度。提出微尺度线电极的原位制造法，实现了微尺度电化学制造。主持研制出具有自主知识产权的多种电化学制造装备。成果在国防工业得到应用。曾获国家技术发明二等奖、国防科学技术一等奖等多项奖励。,http://www.casad.cas.cn:80/aca/371/jskxb-201112-t20111213_3412404.html,朱荻
技术科学部,2003,"力学专家。1938年9月5日生于浙江义乌。1961年毕业于西北工业大学工程力学专业，1964年西北工业大学非线性振动专业研究生毕业。现任浙江大学力学系教授。2003年当选为中国科学院院士。
    主要从事非线性随机动力学与控制研究。国际上首次提出与发展了随机激励的耗散的哈密顿系统理论。得到了四类能量非等分精确平稳解，打破了60年来只有能量等分精确平稳解的局面。提出与发展了高斯白噪声激励下耗散哈密顿系统等效非线性系统法、拟哈密顿系统随机平均法，研究拟哈密顿系统随机稳定性、随机分岔及首次穿越的理论方法，以及分别以响应最小、稳定性或可靠性最大为目标的非线性随机最优控制理论方法。上述创新研究成果构成了一个非线性随机动力学与控制的哈密顿理论体系框架，为解决工程中一系列极其困难的非线性随机动力学与控制关键问题提供了一整套全新而有效的理论方法。",http://www.casad.cas.cn:80/aca/371/jskxb-200906-t20090624_1808111.html,朱位秋
技术科学部,1995,液体火箭发动机专家。1930年10月26日生于江苏溧阳。1949-1952年在南京大学航空系学习。1960年在莫斯科包曼高工获副博士学位。中国运载火箭技术研究院研究员、科技委顾问、863-702的技术咨询专家。曾任国家“863”计划航天领域中的专家组组长、中国运载火箭技术研究院研究员。1995年当选为中国科学院院士。    长期从事火箭发动机的理论与工程研究。早期参加地地导弹用液体火箭发动机的研制；负责研制液氢液氧火箭发动机，成功用于长征三号运载火箭发射工程等。在“863”航天领域的发展战略研究中，提出只需研制两种大推力火箭发动机进行积数式发展，就能使新一代运载火箭的运载能力实现大幅度提高。此建议国家已立项研制。2001年2月国家科技部和总装备部联合授予他“国家‘863’计划十五周年”先进个人荣誉证书。获1985年国家科学技术进步奖一等奖。主要代表作有《氢氧火箭发动机及其低温技术》等。,http://www.casad.cas.cn:80/aca/371/jskxb-200906-t20090624_1808115.html,朱森元
技术科学部,2001,"火箭发动机和工程热物理专家。1932年1月28日生于江苏常州。1956年毕业于哈尔滨工业大学动力机械系。装备指挥技术学院教授。2001年当选为中国科学院院士。 
    创立了液体推进剂高压蒸发模型，研究了高压相平衡和流体热力学性质的非理想性、汽液界面运动和过程的非定常性以及推进剂的分解和离解反应，提出了自燃推进剂火箭发动机燃烧过程计算综合模型，得出了该型发动机的燃烧性能变化规律；研究成功MMH/NTO火箭发动机燃烧声学不稳定性和声腔阻尼的数值评定技术，应用于神舟号载人飞船轨控发动机的燃烧稳定性分析和改进；对我国氢氧发动机喷注器的雾化机理和燃烧特性进行了研究，建立了雾化特性计算模型和喷雾燃烧模型，得出了该型发动机的燃烧流场内部信息，为我国氢氧火箭发动机推力室设计的方案选择和性能改进提供了新的分析工具。主要代表作有《液体火箭发动机喷雾燃烧的理论、模型及应用》、《液体火箭发动机推力室设计基础》等。",http://www.casad.cas.cn:80/aca/371/jskxb-200906-t20090624_1808106.html,庄逢辰
技术科学部,2007,功能材料学家。南京大学教授。1949年12月生于江苏省南京市，籍贯江苏镇江。1981年毕业于淮阴师范学院，1988年在南京大学获硕士学位，1996年在南京大学获博士学位。现任南京大学物理系主任，教育部科技委材料学部主任，江苏省科协副主席。2007年当选中国科学院院士。    长期从事微结构功能材料研究。在铁电畴工程方面，发现了铌酸锂型铁电体电畴反转动力学规律，发展了图案极化技术，研制出不同功能的介电体超晶格材料。在微结构晶体功能研究方面，发展了非共线准相位匹配技术，并应用于光的非线性弹性散射、增强拉曼散射、非线性切仑科夫辐射和纠缠光研究等。在全固态激光器研究方面，将超晶格材料与全固态激光技术结合，研制了光学超晶格多波长激光器和可调谐激光器等。,http://www.casad.cas.cn:80/aca/371/jskxb-200906-t20090624_1808109.html,祝世宁
技术科学部,1995,"女，材料科学家。原籍浙江杭州，1938年10月10日生于上海。1962年毕业于上海复旦大学物理系。清华大学教授。1995年当选为中国科学院院士。
    60年代未至80年代未从事超高强度马氏体时效钢的合金化原理、强韧化本质等一系列应用基础研究，据此提出的合金化及热处理制度已在铀分离机用钢中实施。80年代初开始电子微衍射研究，运用相干电子波微衍射实验及原理，发现和确定了单个畴界的性质提出了测定纳米区域有序度的方法和发展了电荷密度分布实验确定的研究，界面应变分布实验与数值模拟等，近年在高温结构材料、纳米材料和技术、固体表面与界面、应力诱导相交、微量元素偏析特征等研究中。发展了实验研究方法，提出了一些新的见解。",http://www.casad.cas.cn:80/aca/371/jskxb-200906-t20090624_1808117.html,朱静
技术科学部,1995,"冶金材料物理化学家。1937年3月25日生于南京。籍贯广东潮阳。1960年毕业于北京科技大学冶金系。北京科技大学教授。1995年当选为中国科学院院士。
    其主要工作在熔体热力学和冶金过程理论两个方面。导出了一系列各类体系的熔体热力学性质计算公式，概括出一些原理。提出的新一代溶液几何模型解决了三十多年几何模型存在的固有缺陷，为实现模型选择和计算全计算机化开辟了道路。系统地研究了氧离子在电解质中的迁移，为描述和模拟各类冶炼过程打下了基础。其工作已被国内外专家学者引用到合金、熔盐、炉渣、半导体材料等各种体系，处理热力学和动力学问题，并被同行系统地编入到多本高校教科书中。",http://www.casad.cas.cn:80/aca/371/jskxb-200906-t20090624_1808129.html,周国治
技术科学部,1993,工程力学、计算力学专家。原籍浙江德清，1934年2月24日生于上海。1956年同济大学桥梁与隧道系毕业。大连理工大学教授。1993年当选为中国科学院院士。    60年代发现潜艇耐压锥、柱结合壳失稳的不利构造形式。70年代与小组基于群论研制了大量工程应用软件，并主持研制了三维大型有限元系统JIGFEX／DDJ。80年代提出了基于序列二次规划的结构优化算法及DDDU程序系统提出结构极限分析新的上、下限定理，继而又提出了参变量变分原理及相应的参变量二次规划算法用于弹－塑性变形及接触问题，是中国计算力学发展的奠基人之一。1989年以来，发现了结构力学与最优控制相模拟据此又提出了弹性力学求解新体系与精细积分的方法论。,http://www.casad.cas.cn:80/aca/371/jskxb-200906-t20090624_1808137.html,钟万勰
技术科学部,2011,工程热物理学专家。上海交通大学教授。1936年生于广州。1958年毕业于俄克拉荷马州立大学，分别于1960年和1965年获美国麻省理工学院硕士学位和斯坦福大学工程博士学位。2011年当选为中国科学院院士。    长期从事多孔介质传热、辐射传热和微尺度传热研究。提出了多孔介质热对流、弥散导热、两相流等系列理论模型，应用于地热能源的预测、电子元件的冷却和燃料电池性能的评估。建立了“微分近似法”的多维辐射换热简化模型，应用于航天热控的设计。阐明了尺度效应和接触角等界面效应对微尺度相变传热机理的影响，并将微通道的独特流型与传热规律应用于芯片冷却和微换热器的设计。曾获2007年国家自然科学二等奖、1996年ASME传热学奖、2003年AIAA热物理学奖、2006年ASME传热学经典论文奖和2006年ASME/AIChE共同颁发的马可杰克奖。,http://www.casad.cas.cn:80/aca/371/jskxb-201112-t20111213_3412403.html,郑平
技术科学部,1993,爆炸力学、应用力学和振动专家。原籍浙江鄞县，1924年10月2日生于山东济南。1947年毕业于清华大学，获学士学位。1949年和1952年分别获美国加州理工学院硕士学位和博士学位。 中国科学院力学研究所研究员。1980当选为中国科学院院士(学部委员)。1993年当选为美国工程院外籍院士。1994年选聘为中国工程院院士。   早期从事弹性力学、水弹性力学、振动及地震工程力学研究。1960年开始从事爆炸加工、地下核爆炸、穿破甲、材料动态力学性质、爆炸处理水下软基等方面的研究。开展爆炸成形模型律、成形机理、模具强度、爆炸成形材料的动态力学性能、爆炸载荷等方面的理论研究和实验工作，同时解决了成形参数与工艺问题，开辟了力学与工艺相结合的“工艺力学”新方向，在爆炸力学的理论和应用方面作出贡献。荣获2012年度国家最高科学技术奖。,http://www.casad.cas.cn:80/aca/371/jskxb-200906-t20090624_1808140.html,郑哲敏
技术科学部,1991,"金属物理学家。1921年10月16日生于河北武邑。1942年毕业于武汉大学矿冶系。1949年获美国科士理工学院物理冶金硕士学位，1952年获麻省理工学院物理冶金博士学位。中国工程物理研究院教授、科技委顾问。1991年当选为中国科学院院士（学部委员）。 
    50年代初在美国系统地研究了在蠕变过程中纯铝及其二元单相合金的形变和断裂机构，尤其是晶粒间界行为。1989年赴美任麻省理工学院访问教授期间，又进行了细晶的研究。根据试验证据，运用形变协调或受阻的观点，提出晶界裂纹形成和传播的模型，并系统地阐明晶界行为与高温强度、塑性、断裂的关系。在高温强度和超塑性领域内作出了重大成就与贡献。",http://www.casad.cas.cn:80/aca/371/jskxb-200906-t20090624_1808155.html,张兴钤
技术科学部,2001,建筑学专家。1941年11月12日生于四川成都，原籍广东惠阳。1981年同济大学建筑系硕士研究生毕业，1993年获博士学位。同济大学建筑与城市空间研究所教授。2001年当选为中国科学院院士。1998年当选为法国建筑科学院院士，2002年当选为美国建筑师学会荣誉资深会员，2007年获意大利罗马大学名誉博士学位，同年获意大利仁惠之星骑士勋章。曾任同济大学建筑与城市规划学院院长、同济大学副校长、上海市建筑学会理事长、中国建筑学会副理事长、中国2010年上海世博会主题演绎总策划师、中国2010年上海世博会主题演绎顾问、国务院学位委员会委员等。现任同济大学学术委员会主任、上海市规划委员会城市发展战略委员会主任委员、上海市历史文化风貌区和优秀历史建筑保护专家委员会主任。　　长期事于建筑设计理论研究工作。运用建筑本体论以及与之相对应的方法论，引用中、西方人文主义思想，撰写了著作《建筑理性论》，建构了“建筑评论”体系，出版了《建筑批评学》专著，提出了一整套建筑评论的具体方法。对上海近代建筑作过深入细致的研究，出版专著《上海近代建筑风格》。在国内外学术刊物上发表论文100多篇，并积极参与建筑创作实践活动，主持设计了上海南京路步行街城市设计、上海复兴高级中学、上海朱屺瞻艺术馆、上海格致中学教学楼、杭州中国财税博物馆、上海外滩金融博物馆等。,http://www.casad.cas.cn:80/aca/371/jskxb-200906-t20090624_1808142.html,郑时龄
技术科学部,2005,"机械工程专家。南京航空航天大学教授。1938年11月生于湖南衡山。1961年毕业于南京航空学院飞机系，1984年获法国巴黎高等机械学院工程力学博士学位。曾任南京航空航大学振动工程研究所所长、精密驱动研究所所长。2005年当选为中国科学院院士。    长期从事振动工程技术和应用研究。提出了超声电机结构参数优化设计理论和方法建立了超声电机定子/转子间""粘着-滑动""非线性摩擦界面模型提出了行波超声电机定子反共振点恒流驱动模式、频率自动跟踪新方法和压电陶瓷元件分区极化新方式解决了行波超声电机定子近频模态混迭及二相频率分离的难题。研发了杆式、环式和圆板式行波型、自校正驻波型、直线型、纵扭复合型和多自由度型等16种具有自主知识产权的超声电机及其驱动器。发展了电动式激振器设计理论、多点激振试验和机械故障诊断应用技术开发出多种激振器并得到广泛应用。",http://www.casad.cas.cn:80/aca/371/jskxb-200906-t20090624_1808147.html,赵淳生
